Ticker,Name,Price (R),Market Cap (R bn),Sector,FX Exposure,P/E,6mo Momentum %,Sharpe Ratio,ADV (R m),Valuation Score,Momentum Score,Sharpe Score,Combined Score
IMP,Impala Platinum,198.74,178.38,Basic Materials,Rand Hedge,5.779006,-12.0,-0.16,853.7,94.0,21.0,42.0,54.0
ABG,Absa Group,220.28,182.41,Financial Services,Domestic,7.878398,-6.0,-0.66,533.2,72.0,31.0,27.0,47.0
DSY,Discovery,262.78,175.87,Financial Services,Domestic,13.650909,5.5,0.23,495.5,32.0,61.0,60.0,49.0
SHP,Shoprite,321.77,174.01,Consumer Cyclical,Domestic,21.537483,19.9,1.48,452.0,12.0,87.0,93.0,58.0
SLM,Sanlam,81.24,169.77,Financial Services,Domestic,9.087249,-7.3,-0.9,435.4,60.0,27.0,20.0,39.0
BID,Bid Corporation,441.75,147.65,Consumer Defensive,Rand Hedge,16.613388,9.2,0.66,320.6,18.0,72.0,77.0,51.0
SOL,Sasol,231.49,148.39,Basic Materials,Mixed,12.352722,11.1,0.52,896.4,40.0,78.0,71.0,61.0
NED,Nedbank,292.87,133.81,Financial Services,Domestic,15.430453,11.4,0.75,438.6,22.0,80.0,81.0,57.0
OUT,OUTsurance Group,84.18,130.32,Financial Services,Mixed,23.254145,21.7,1.38,252.2,10.0,89.0,91.0,58.0
SSW,Sibanye-Stillwater,43.26,122.45,Basic Materials,Rand Hedge,8.566336,-9.0,-0.2,739.1,67.0,24.0,38.0,44.0
REM,Remgro,207.16,115.33,Financial Services,Mixed,82.53387,15.8,1.18,193.1,1.0,84.0,87.0,51.0
NPH,Northam Platinum,266.07,104.76,Basic Materials,Rand Hedge,7.6921077,-16.0,-0.49,787.6,74.0,18.0,31.0,43.0
NRP,NEPI Rockcastle,145.0,102.56,Real Estate,Rand Hedge,10.661764,7.6,0.56,231.1,52.0,68.0,72.0,62.0
INP,Investec,138.31,86.67,Financial Services,Mixed,8.485276,7.1,0.37,167.8,69.0,66.0,66.0,67.0
